name,name:com,name:en,name:nl,name:de,name:fr,name:es,name:eo,name:ru
Lophophanes cristatus,Crested Tit,Crested Tit,,Haubenmeise,,,,
Turdus iliacus,Redwing,Redwing,,Rotdrossel,,,,
Saxicola rubicola,European Stonechat,European Stonechat,,Schwarzkehlchen,,,,
Luscinia megarhynchos,Common Nightingale,Common Nightingale,,Nachtigall,,,,
Luscinia luscinia,Thrush Nightingale,Thrush Nightingale,,Sprosser,,,,
Phylloscopus sibilatrix,Wood Warbler,Wood Warbler,,Waldlaubsänger,,,,
Sterna hirundo,Common Tern,Common Tern,,Flussseeschwalbe,,,,
Certhia familiaris,Eurasian Treecreeper,Eurasian Treecreeper,,Waldbaumläufer,,,,
Loxia curvirostra,Red Crossbill,Red Crossbill,,Fichtenkreuzschnabel,,,,
Psittacula krameri,Rose-ringed Parakeet,Rose-ringed Parakeet,,Halsbandsittich,,,,
Phoenicurus phoenicurus,Common Redstart,Common Redstart,,Gartenrotschwanz,,,,
Ficedula hypoleuca,European Pied Flycatcher,European Pied Flycatcher,,Trauerschnäpper,,,,
Muscicapa striata,Spotted Flycatcher,Spotted Flycatcher,,Grauschnäpper,,,,
Fringilla montifringilla,Brambling,Brambling,,Bergfink,,,,
Hippolais icterina,Icterine Warbler,Icterine Warbler,,Gelbspötter,,,,
Netta rufina,Red-crested Pochard,Red-crested Pochard,,Kolbenente,,,,
Platalea leucorodia,Eurasian Spoonbill,Eurasian Spoonbill,,Löffler,,,,
Saxicola rubetra,Whinchat,Whinchat,,Braunkehlchen,,,,
Oenanthe oenanthe,Northern Wheatear,Northern Wheatear,,Steinschmätzer,,,,
Cinclus cinclus,White-throated Dipper,White-throated Dipper,,Wasseramsel,,,,
Tringa nebularia,Common Greenshank,Common Greenshank,,Grünschenkel,,,,
Recurvirostra avosetta,Pied Avocet,Pied Avocet,,Säbelschnäbler,,,,
Tringa glareola,Wood Sandpiper,Wood Sandpiper,,Bruchwasserläufer,,,,
Tadorna ferruginea,Ruddy Shelduck,Ruddy Shelduck,,Rostgans,,,,
Somateria mollissima,Common Eider,Common Eider,,Eiderente,,,,
Nucifraga caryocatactes,Eurasian Nutcracker,Eurasian Nutcracker,,Tannenhäher,,,,
Oriolus oriolus,Eurasian Golden Oriole,Eurasian Golden Oriole,,Pirol,,,,
Pyrrhocorax graculus,Yellow-billed Chough,Yellow-billed Chough,,Alpendohle,,,,
Calidris alpina,Dunlin,Dunlin,,Alpenstrandläufer,,,,
Calidris pugnax,Ruff,Ruff,,Kampfläufer,,,,
Anas acuta,Northern Pintail,Northern Pintail,,Spießente,,,,
Charadrius hiaticula,Common Ringed Plover,Common Ringed Plover,,Sandregenpfeifer,,,,
Charadrius dubius,Little Ringed Plover,Little Ringed Plover,,Flussregenpfeifer,,,,
Actitis hypoleucos,Common Sandpiper,Common Sandpiper,,Flussuferläufer,,,,
Anthus spinoletta,Water Pipit,Water Pipit,,Bergpieper,,,,
Locustella luscinioides,Savi's Warbler,Savi's Warbler,,Rohrschwirl,,,,
Rallus aquaticus,Water Rail,Water Rail,,Wasserralle,,,,
Spatula querquedula,Garganey,Garganey,,Knäkente,,,,
Aix galericulata,Mandarin Duck,Mandarin Duck,,Mandarinente,,,,
Acrocephalus arundinaceus,Great Reed Warbler,Great Reed Warbler,,Drosselrohrsänger,,,,
Anser serrirostris,Tundra Bean-Goose,Tundra Bean-Goose,,Tundrasaatgans,,,,
Columba livia domestica,rock dove,rock dove,,Felsentaube,,,,си́зый го́лубь
Curruca communis,common whitethroat,common whitethroat,,Dorngrasmücke,,,,се́рая сла́вка
Curruca curruca,lesser whitethroat,lesser whitethroat,,Klappergrasmücke,,,,славка-завирушка
