name,lang,,,,
Branta canadensis,fr,,,,
Branta canadensis,es,,,,
Branta canadensis,eo,,,,
Branta canadensis,ru,,,,
Streptopelia decaocto,en,,,,
Streptopelia decaocto,nl,,,,
Streptopelia decaocto,de,Sie sind sehr frühreif. Die erste Brut kann mitunter drei bis vier Monate nach dem Schlüpfen begonnen werden.,,,
Streptopelia decaocto,fr,,,,
Streptopelia decaocto,es,,,,
Streptopelia decaocto,eo,,,,
Streptopelia decaocto,ru,,,,
Poecile palustris,en,,"If marsh tits find a good supply start to hoard seeds, hiding them for a rainy day. Their hippocampus is large, bigger than a great tit's",,
Poecile palustris,nl,,,,
Poecile palustris,de,Die Sumpfmeise wird auch „Nonnenmeise“ genannt.,,,
Poecile palustris,fr,,,,
Poecile palustris,es,,,,
Poecile palustris,eo,,,,
Poecile palustris,ru,,,,
Tachybaptus ruficollis,en,,,,
Tachybaptus ruficollis,nl,,,,
Tachybaptus ruficollis,de,"Bei Gefahr entscheidet er sich immer für den Rückzug. Er taucht einfach ab und warnt seine Artgenossen, indem er mit den Hinterfüßen Wasser aufspritzt.",,,
Tachybaptus ruficollis,fr,,,,
Tachybaptus ruficollis,es,,,,
Tachybaptus ruficollis,eo,,,,
Tachybaptus ruficollis,ru,,,,
Pyrrhula pyrrhula,en,,,,
Pyrrhula pyrrhula,nl,,,,
Pyrrhula pyrrhula,de,Der Name „Dompfaff“ spielt auf die roten Talare der Geistlichen in der Kirche an. Der kompakten Gestalt verdanken sie ihren englischen Namen „Bullfinch“.,,,
Pyrrhula pyrrhula,fr,,,,
Pyrrhula pyrrhula,es,,,,
Pyrrhula pyrrhula,eo,,,,
Pyrrhula pyrrhula,ru,,,,
Vanellus vanellus,en,,,,
Vanellus vanellus,nl,,,,
Vanellus vanellus,de,"Männchen scharren kleine Mulden in den Boden und rupfen Gräser, um die Weibchen mit diesem sogenannten „Scheinnisten“ von ihren Nestbau-Qualitäten zu überzeugen.",,,
Vanellus vanellus,fr,,,,
Vanellus vanellus,es,,,,
Vanellus vanellus,eo,,,,
Vanellus vanellus,ru,,,,
Anas crecca,en,,,,
Anas crecca,nl,,,,
Anas crecca,de,"Verlässt das Weibchen während der Brutzeit das Nest, wird es vom Männchen stets eng begleitet.",,,
Anas crecca,fr,,,,
Anas crecca,es,,,,
Anas crecca,eo,,,,
Anas crecca,ru,,,,
Milvus milvus,en,,,,
Milvus milvus,nl,,,,
Milvus milvus,de,"Es gibt keine andere Vogelart, von der ein so großer Anteil des Weltbestandes in Deutschland brütet.",,,
Milvus milvus,fr,,,,
Milvus milvus,es,,,,
Milvus milvus,eo,,,,
Milvus milvus,ru,,,,
Emberiza schoeniclus,en,,,,
Emberiza schoeniclus,nl,,,,
Emberiza schoeniclus,de,,,,
Emberiza schoeniclus,fr,,,,
